School ID,School,Type,Address,City,Latitude,Longitude,Principal,Main Contact,Main Contact Phone Number,Actively Working In
1,Elundini,Primary,,,,,,,,
2,Inkqubela,Primary,,,,,,,,
3,Nolundi,ECD,,,-33.894761,25.58983908,,,,
4,Future Kids Educare,ECD,,,-33.893066,25.59292460,,,,
5,Little Ships,ECD,,,-33.891912,25.60715675,,,,
6,BJ Mnyanda,Primary,,,-33.888347,25.58640198,,,,
7,Zanoxolo,Primary,,,,,,,,
8,Rock of Ages,ECD,,,-33.804092,25.57437781,,,,
9,Malikhanye Day Care,ECD,,,-33.801811,25.58439876,,,,
10,Umzam'omhle Educare,ECD,,,,,,,,
11,Nxanelwimfundo,ECD,,,,,,,,
12,Kokkewiet,ECD,,,,,,,,
13,Lukhanyiso,ECD,,,,,,,,
14,Early Rose,ECD,,,-33.797187,25.60007679,,,,
15,Sume Centre,ECD,,,,,,,,
75,Ezibeleni ,ECD,,,,,,,,
76,Cuttee Babies Nursery,ECD,,,,,,,,
77,New Brighton Future Kids,ECD,,,-33.905964,25.59275929,,,,
78,Simanye,ECD,,,-33.896175,25.58977076,,,,
79,Tinky Winky Day Care,ECD,,,-33.824381,25.58975190,,,,
80,Minnie Day Care,ECD,,,-33.804675,25.58112840,,,,
81,Libhongo Lwethu,ECD,,,,,,,,
82,Yomelela EduCare,ECD,,,,,,,,
83,Funimfundo,ECD,,,,,,,,
84,Kings and Quuens,ECD,,,,,,,,
85,Nomonde,ECD,,,-33.898924,25.59167732,,,,
86,Lukhanyo,ECD,,,,,,,,
87,Dorcas Educare Centre,ECD,,,,,,,,
88,Kwakhanya,ECD,,,,,,,,
89,David Vuku,Primary,,,,,,,,
90,Kayser Ngxwana,Primary,,,,,,,,
91,Lukhanyiselo,ECD,,,-33.903268,25.58865101,,,,
92,Imbasa,Primary,,,,,,,,
93,Thanda Abantwana,ECD,,,,,,,,
94,Nelisa,ECD,,,-33.800678,25.57951692,,,,
95,Linge Tots,ECD,,,,,,,,
96,Lamani,Primary,,,-33.893829,25.59003491,,,,
97,Nontsikelelo,ECD,,,,,,,,
98,Cebelihle,Primary,,,,,,,,
99,Siyaphambili,ECD,,,,,,,,
100,Adcoc Brighton kids,ECD,,,-33.902751,25.59117600,,,,
101,Future Angels ,ECD,,,,,,,,
102,Vulithemba,ECD,,,-33.867941,25.57438521,,,,
103,Entokozweni EduCare,ECD,,,,,,,,
104,Enkwenkwezini,ECD,,,,,,,,
105,Kama,Primary,,,,,,,,
106,Emafini,Primary,,,,,,,,
107,Khazimla,ECD,,,-33.896984,25.60754139,,,,
108,Sikhulise Pre-School,ECD,,,,,,,,
109,Nkuthalo,ECD,,,,,,,,
110,Zukhanye,ECD,,,-33.797929,25.60619036,,,,
111,Ikamvalethu,ECD,,,-33.798033,25.58107180,,,,
112,Emfundweni,Primary,,,,,,,,
113,St Augustines,Primary,,,,,,,,
114,Sunnyside,ECD,,,-33.901973,25.59839494,,,,
115,Kroneberg,Primary,,,,,,,,
116,Pendla,Primary,,,,,,,,
117,Vukanibantu,Primary,,,,,,,,
118,Stephen Mazungula,Primary,,,,,,,,
119,Njongozabantu,ECD,,,-33.797261,25.60559210,,,,
120,KwaNoXolo,Primary,,,,,,,,
121,Zukisa,Primary,,,,,,,,
122,Ntyatyambo,Primary,,,,,,,,
123,Vezubuhle,Primary,,,,,,,,
124,Nontsapho,ECD,,,-33.804926,25.60950307,,,,
125,Samuel Nongogo ,Primary,,,,,,,,
126,Khulile,ECD,,,,,,,,
127,Jesus Dominion,ECD,,,,,,,,
128,Luv Birds Day care,ECD,,,,,,,,
129,Garrett,Primary,,,,,,,,
130,Vukani Daycare,ECD,,,,,,,,
131,KK Ncwana,Primary,,,,,,,,
132,Mzingisi,Primary,,,,,,,,
133,Good Hope,ECD,,,-33.902598,25.60338327,,,,
134,Spencer Mabija,Primary,,,,,,,,
135,Little Angels Unite,ECD,,,,,,,,
136,Future Stars,ECD,,,-33.811756,25.60075933,,,,
137,Ikhwezelihle,Primary,,,,,,,,
138,Govan Mbeki,ECD,,,-33.798819,25.58876210,,,,
139,Mzimhlophe,Primary,,,,,,,,
140,Arise and Shine,ECD,,,,,,,,
141,Sekunjalo EduCentre,ECD,,,,,,,,
142,Bomi obutsha,ECD,,,,,,,,
143,Enqileni,Primary,,,,,,,,
