All Sites,Type,x,Literacy Programme,1000 stories,EduTech,Yebo,Zazi Izandi,Count,x,Foundation Phase,Upper Grades,Total Kids in School,Include Which Beneficiaries,Masi Beneficiaries,Black Children,Coloured Children,Masi Programmes
Holy Name Community,ECD,Aaron Gqadu,,18,,,,,,,,18,,18,18,,18
Linge Tots,ECD,Aaron Gqadu,,45,,,,,,,,45,,45,45,,45
Little Angels Unite,ECD,Aaron Gqadu,,18,,,,,,,,18,,18,18,,18
Ekhaya,ECD,Ben Snuka,,35,,,24,,,,,35,,35,35,,35
Future Kids Educare,ECD,Ben Snuka,,35,,,,,,,,35,,35,35,,35
Nolundi,ECD,Charles Duna,,72,,,,,,,,72,,72,72,,72
Nomonde,ECD,Charles Duna,,19,,,,,,,,19,,19,19,,19
Arise and Shine,ECD,Dumani,,15,,,25,,,,,15,,25,15,,15
Early Rose,ECD,Dumani,,11,,,,,,,,11,,11,11,,11
Njongozabantu,ECD,Dumani,,23,,,,,,,,23,,23,23,,23
Nontsapho,ECD,Dumani,,35,,,,,,,,35,,35,35,,35
Dorcas Educare Centre,ECD,Ebhongweni,,10,,,,,,,,10,,10,10,,10
Lukhanyiso,ECD,Ebhongweni,,,,,,,,,,,,,,,
Thandi's Educare & Aftercare,ECD,Ebhongweni,,16,,,,,,,,16,,16,16,,16
Kings and Quuens,ECD,Ebongweni,,30,,,,,,,,30,,30,30,,30
Libhongo Lwethu,ECD,Elufefeni,,44,,,,,,,,44,,44,44,,44
Entokozweni EduCare,ECD,Elufefeni,,15,,,,,,,,,,,,,
Luv Birds Day care,ECD,Fumisukoma,,25,,,,,,,,25,,25,25,,25
Kwakhanya,ECD,Fumisukoma,,,,,,,,,,,,,,,
Nosandla Educare,ECD,Getrude Shope,,25,,,,,,,,25,,25,25,,25
Sakhuxolo Educare,ECD,Getrude Shope,,28,,,,,,,,28,,28,28,,28
Umzam'omhle Educare,ECD,Getrude Shope,,60,,,,,,,,60,,60,60,,60
